"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test case navigates to survey management and then to seasons screen","10150","בדיקה פלואו: מעבר לניהול הסקר  למסך עונות","","Thu Jun 19 12:57:54 IDT 2025","passed","Thu Jun 19 12:58:04 IDT 2025","","tests\api.spec.ts","",""
"","6","בדיקה פלואו- בחירת מודל חישוב","","Mon Jun 16 12:26:19 IDT 2025","skipped","Mon Jun 16 12:26:19 IDT 2025","","tests\api.spec.ts","",""
"The test case navigates to survey management and then to seasons screen","8816","בדיקה פddלואו: מעבר לניהול הסקר ואז למסך עונות","","Wed May 28 14:19:56 IDT 2025","passed","Wed May 28 14:20:05 IDT 2025","","tests\api.spec.ts","",""
"The test case navigates to survey management and then to seasons screen","14073",",תתת","","Thu Jun 19 12:58:29 IDT 2025","passed","Thu Jun 19 12:58:43 IDT 2025","","tests\api.spec.ts","",""
"The test case navigates to survey management and then to seasons screen","57511","בדיקה פלואו: מעבר לניהול הסקר ואז למסך עונות","","Thu Jun 19 12:56:53 IDT 2025","failed","Thu Jun 19 12:57:50 IDT 2025","","tests\api.spec.ts","",""
"The test case navigates to survey management and then to seasons screen","8156","ת","","Thu Jun 19 12:58:04 IDT 2025","passed","Thu Jun 19 12:58:12 IDT 2025","","tests\api.spec.ts","",""
"The test case navigates to survey management and then to seasons screen","11692","בדיקה פלואו - בחירת מודל חישוב","","Thu Jun 19 12:56:41 IDT 2025","passed","Thu Jun 19 12:56:53 IDT 2025","","tests\api.spec.ts","",""
"The test case navigates to survey management and then to seasons screen","19158","u,תתגבגת","","Wed Jun 18 15:42:51 IDT 2025","passed","Wed Jun 18 15:43:10 IDT 2025","","tests\api.spec.ts","",""
"The test case navigates to survey management and then to seasons screen","8149","תת","","Thu Jun 19 12:58:12 IDT 2025","passed","Thu Jun 19 12:58:20 IDT 2025","","tests\api.spec.ts","",""
"The test case navigates to survey management and then to seasons screen","8649","u,תתת","","Thu Jun 19 12:58:43 IDT 2025","passed","Thu Jun 19 12:58:51 IDT 2025","","tests\api.spec.ts","",""
"The test case navigates to survey management and then to seasons screen","8552","תתת","","Thu Jun 19 12:58:20 IDT 2025","passed","Thu Jun 19 12:58:29 IDT 2025","","tests\api.spec.ts","",""
"The test case navigates to survey management and then to seasons screen","14981","בדיקה מלאה: מעבר לניהול הסקר ואז למסך עונות","","Tue May 13 12:47:34 IDT 2025","passed","Tue May 13 12:47:49 IDT 2025","","tests\api.spec.ts","",""
"The test case navigates to survey management and then to seasons screen","17983","pic 1","","Thu Jun 19 12:58:51 IDT 2025","failed","Thu Jun 19 12:59:09 IDT 2025","","tests\api.spec.ts","",""
"The test case navigates to survey management and then to seasons screen","29495","pic2","","Thu Jun 19 12:59:13 IDT 2025","passed","Thu Jun 19 12:59:42 IDT 2025","","tests\api.spec.ts","",""
"The test case navigates to survey management and then to seasons screen","27455","u,תתגגת","","Wed Jun 18 15:42:24 IDT 2025","passed","Wed Jun 18 15:42:51 IDT 2025","","tests\api.spec.ts","",""
